"gamecube","FIFA Soccer 2002","none","https://www.metacritic.com/game/gamecube/fifa-soccer-2002",81,8.1,"Nov 21, 2001"
"gamecube","NFL Street","none","https://www.metacritic.com/game/gamecube/nfl-street",81,8.2,"Jan 13, 2004"
"gamecube","Mario Golf: Toadstool Tour","none","https://www.metacritic.com/game/gamecube/mario-golf-toadstool-tour",81,8.1,"Jul 29, 2003"
"gamecube","Peter Jackson's King Kong: The Official Game of the Movie","none","https://www.metacritic.com/game/gamecube/peter-jacksons-king-kong-the-official-game-of-the-movie",81,8.5,"Nov 21, 2005"
"gamecube","Mega Man Anniversary Collection","none","https://www.metacritic.com/game/gamecube/mega-man-anniversary-collection",81,8.8,"Jun 22, 2004"
"gamecube","The Sims Bustin' Out","none","https://www.metacritic.com/game/gamecube/the-sims-bustin-out",81,8.4,"Dec 15, 2003"
"gamecube","Bomberman Generation","none","https://www.metacritic.com/game/gamecube/bomberman-generation",81,8.3,"Jun 3, 2002"
"gamecube","NHL Hitz Pro","none","https://www.metacritic.com/game/gamecube/nhl-hitz-pro",81,7.8,"Sep 25, 2003"
"gamecube","X-Men Legends","none","https://www.metacritic.com/game/gamecube/x-men-legends",81,8.4,"Sep 21, 2004"
"gamecube","Mortal Kombat: Deadly Alliance","none","https://www.metacritic.com/game/gamecube/mortal-kombat-deadly-alliance",81,8.6,"Nov 17, 2002"
"gamecube","Def Jam Vendetta","none","https://www.metacritic.com/game/gamecube/def-jam-vendetta",81,8.2,"Mar 31, 2003"
"gamecube","Donkey Kong Jungle Beat","none","https://www.metacritic.com/game/gamecube/donkey-kong-jungle-beat",80,8.1,"Mar 14, 2005"
"gamecube","Mario Power Tennis","none","https://www.metacritic.com/game/gamecube/mario-power-tennis",80,8.5,"Nov 8, 2004"
"gamecube","FIFA 07 Soccer","none","https://www.metacritic.com/game/gamecube/fifa-07-soccer",80,8.2,"Oct 3, 2006"
"gamecube","SSX On Tour","none","https://www.metacritic.com/game/gamecube/ssx-on-tour",80,7.6,"Oct 11, 2005"
"gamecube","Baten Kaitos: Eternal Wings and the Lost Ocean","none","https://www.metacritic.com/game/gamecube/baten-kaitos-eternal-wings-and-the-lost-ocean",80,8.4,"Nov 16, 2004"
"gamecube","Final Fantasy Crystal Chronicles","none","https://www.metacritic.com/game/gamecube/final-fantasy-crystal-chronicles",80,9,"Feb 9, 2004"
"gamecube","MLB Slugfest 20-03","none","https://www.metacritic.com/game/gamecube/mlb-slugfest-20-03",80,,"Sep 3, 2002"
"gamecube","Karaoke Revolution Party","none","https://www.metacritic.com/game/gamecube/karaoke-revolution-party",80,,"Nov 8, 2005"
"gamecube","Medal of Honor Frontline","none","https://www.metacritic.com/game/gamecube/medal-of-honor-frontline",80,7.6,"Nov 10, 2002"
"gamecube","All-Star Baseball 2004","none","https://www.metacritic.com/game/gamecube/all-star-baseball-2004",80,8.2,"Feb 23, 2003"
